"id_study","country","year","fu","follow_up_of","with_refreshers","according_to_natmed","according_to_bmi_whtr_htn","notes"
"CAF_2010_STEPS","Central African Republic",2010,"nonFU",,,,"nonFU",
"CAF_2012_EPIDEMICABangui","Central African Republic",2012,,,,,,
"CAF_2012_EPIDEMICANola","Central African Republic",2012,,,,,,
"CAF_2017_STEPS","Central African Republic",2017,,,,,,
"CAN_1981_CFS","Canada",1981,,,,,,
"CAN_1985_INTERSALT-StJohns","Canada",1985,,,,,,
"CAN_1987_MONICA-HALa","Canada",1987,,,,,,
"CAN_1989_CHHS","Canada",1989,,,,,,
"CAN_1992_16124023","Canada",1992,,,,,,
"CAN_1993_16124010","Canada",1993,,,,,,
"CAN_1995_MONICA-HALa","Canada",1995,,,,,,
"CAN_1996_16124023","Canada",1996,,,,,,
"CAN_1996_CaMos","Canada",1996,,,,,,
"CAN_1997_16124039","Canada",1997,,,,,,
"CAN_1999_CaMos","Canada",1999,,,,,,
"CAN_2002_CaMos","Canada",2002,,,,,,
"CAN_2005_16124026","Canada",2005,,,,,,
"CAN_2005_CaMosYouth","Canada",2005,,,,,,
"CAN_2007_CaMos","Canada",2007,,,,,,
"CAN_2007_CaMosYouth","Canada",2007,,,,,,
"CAN_2008_16124026","Canada",2008,,,,,,
"CAN_2008_CHMS","Canada",2008,,,,,,
"CAN_2010_CHMS","Canada",2010,,,,,,
"CAN_2012_ISCOLE","Canada",2012,,,,,,
"CAN_2013_CHMS","Canada",2013,,,,,,
"CAN_2013_CaMos","Canada",2013,,,,,,
"CAN_2015_CCHSNut","Canada",2015,,,,,,
"CAN_2015_CHMS","Canada",2015,,,,,,
"CAN_2017_CHMS","Canada",2017,,,,,,
"CAN_2019_CHMS","Canada",2019,,,,,,
"CHE_1985_MONICA","Switzerland",1985,,,,,,
"CHE_1989_MONICA","Switzerland",1989,,,,,,
"CHE_1993_MONICA","Switzerland",1993,,,,,,
"CHE_1995_BSS","Switzerland",1995,,,,,,
"CHE_1996_BSS","Switzerland",1996,,,,,,
"CHE_1997_BSS","Switzerland",1997,,,,,,
"CHE_1998_BSS","Switzerland",1998,,,,,,
"CHE_1999_BSS","Switzerland",1999,,,,,,
"CHE_2000_BSS","Switzerland",2000,,,,,,
"CHE_2001_BSS","Switzerland",2001,,,,,,
"CHE_2002_BSS","Switzerland",2002,,,,,,
"CHE_2002_PrOOC","Switzerland",2002,,,,,,
"CHE_2003_BSS","Switzerland",2003,,,,,,
"CHE_2004_BSS","Switzerland",2004,,,,,,
"CHE_2004_CON","Switzerland",2004,,,,,,
"CHE_2005_BSS","Switzerland",2005,,,,,,
"CHE_2005_CON","Switzerland",2005,,,,,,
"CHE_2005_CoLaus","Switzerland",2005,,,,,,
"CHE_2005_KISS","Switzerland",2005,,,,,,
"CHE_2006_BMS1","Switzerland",2006,,,,,,
"CHE_2006_BSS","Switzerland",2006,,,,,,
"CHE_2006_CON","Switzerland",2006,,,,,,
"CHE_2006_KISS","Switzerland",2006,,,,,,
"CHE_2006_citCHIOLERO","Switzerland",2006,,,,,,
"CHE_2007_BMS1","Switzerland",2007,,,,,,
"CHE_2007_BSS","Switzerland",2007,,,,,,
"CHE_2007_CON","Switzerland",2007,,,,,,
"CHE_2007_PrOOC","Switzerland",2007,,,,,,
"CHE_2008_BMS1","Switzerland",2008,,,,,,
"CHE_2008_BSS","Switzerland",2008,,,,,,
"CHE_2008_CON","Switzerland",2008,,,,,,
"CHE_2009_BMS1","Switzerland",2009,,,,,,
"CHE_2009_BMS2","Switzerland",2009,,,,,,
"CHE_2009_BSS","Switzerland",2009,,,,,,
"CHE_2009_CON","Switzerland",2009,,,,,,
"CHE_2009_KISS","Switzerland",2009,,,,,,
"CHE_2010_BMS1","Switzerland",2010,,,,,,
"CHE_2010_BSS","Switzerland",2010,,,,,,
"CHE_2010_CON","Switzerland",2010,,,,,,
"CHE_2010_ENERGY","Switzerland",2010,,,,,,
"CHE_2011_BMS1","Switzerland",2011,,,,,,
"CHE_2011_BSS","Switzerland",2011,,,,,,
"CHE_2011_CON","Switzerland",2011,,,,,,
"CHE_2011_CoLaus","Switzerland",2011,,,,,,
"CHE_2012_BMS1","Switzerland",2012,,,,,,
"CHE_2012_BMS2","Switzerland",2012,,,,,,
"CHE_2012_BSS","Switzerland",2012,,,,,,
"CHE_2012_CON","Switzerland",2012,,,,,,
"CHE_2012_PrOOC","Switzerland",2012,,,,,,
"CHE_2013_BMS1","Switzerland",2013,,,,,,
"CHE_2013_BSS","Switzerland",2013,,,,,,
"CHE_2013_CON","Switzerland",2013,,,,,,
"CHE_2014_BMS1","Switzerland",2014,,,,,,
"CHE_2014_BSS","Switzerland",2014,,,,,,
"CHE_2014_CON","Switzerland",2014,,,,,,
"CHE_2014_menuCH","Switzerland",2014,"nonFU",,,,"nonFU",
"CHE_2015_BMS1","Switzerland",2015,,,,,,
"CHE_2015_BMS2","Switzerland",2015,,,,,,
"CHE_2015_BSS","Switzerland",2015,,,,,,
"CHE_2015_CON","Switzerland",2015,,,,,,
"CHE_2016_BMS1","Switzerland",2016,,,,,,
"CHE_2016_BSS","Switzerland",2016,,,,,,
"CHE_2016_CON","Switzerland",2016,,,,,,
"CHE_2016_CoLaus","Switzerland",2016,,,,,,
"CHE_2017_BMS1","Switzerland",2017,,,,,,
"CHE_2017_BSS","Switzerland",2017,,,,,,
"CHE_2017_CON","Switzerland",2017,,,,,,
"CHE_2018_BMS1","Switzerland",2018,,,,,,
"CHE_2018_BSS","Switzerland",2018,,,,,,
"CHE_2018_CHildHNS","Switzerland",2018,,,,,,
"CHE_2018_CON","Switzerland",2018,,,,,,
"CHE_2019_BMS1","Switzerland",2019,,,,,,
"CHE_2019_BMS2","Switzerland",2019,,,,,,
"CHE_2019_BSS","Switzerland",2019,,,,,,
"CHE_2019_CON","Switzerland",2019,,,,,,
"CHE_2020_BMS1","Switzerland",2020,,,,,,
"CHE_2020_BSS","Switzerland",2020,,,,,,
"CHE_2020_CON","Switzerland",2020,,,,,,
"CHE_2020_CoLaus","Switzerland",2020,,,,,,
"CHE_2021_BMS1","Switzerland",2021,,,,,,
"CHE_2021_CON","Switzerland",2021,,,,,,
"CHE_2021_CoLausOff","Switzerland",2021,,,,,,
"CHE_2022_BMS1","Switzerland",2022,,,,,,
"CHE_2022_CON","Switzerland",2022,,,,,,
"CHL_1988_CHS","Chile",1988,,,,,,
"CHL_1989_13152001","Chile",1989,,,,,,
"CHL_1993_citMiquel","Chile",1993,"nonFU",,,,"nonFU",
"CHL_2000_SABE","Chile",2000,"nonFU",,,,"nonFU",
"CHL_2000_citNervi","Chile",2000,,,,,,
"CHL_2002_13152013","Chile",2002,,,,,,
"CHL_2003_ENS","Chile",2003,"nonFU",,,,"nonFU",
"CHL_2005_13152033","Chile",2005,,,,,,
"CHL_2005_CARMELA","Chile",2005,,,,,,
"CHL_2010_ENS","Chile",2010,"nonFU",,,,"nonFU",
"CHL_2010_FondecytColegios","Chile",2010,,,,,,
"CHL_2011_ENCA","Chile",2011,"nonFU",,,,"nonFU",
"CHL_2012_CESCAS","Chile",2012,"nonFU",,,,"nonFU",
"CHL_2013_GSHS","Chile",2013,,,,,,
"CHL_2015_ELANS","Chile",2015,"nonFU",,,,"nonFU",
"CHL_2016_ENS","Chile",2016,"nonFU",,,,"nonFU",
"CHL_2017_ELPI","Chile",2017,,,,,,
"CHN_1980_APCSC-EastBeijing1","China",1980,,,,,,
"CHN_1982_CNNS","China",1982,,,,,,
"CHN_1983_SinoMONICA-SH","China",1983,,,,,,
"CHN_1985_APCSC-Shatin","China",1985,,,,,,
"CHN_1985_CNSSCH","China",1985,,,,,,
"CHN_1985_SinoMONICA-BJ","China",1985,,,,,,
"CHN_1986_INTERSALT-Beijing","China",1986,,,,,,
"CHN_1986_INTERSALT-Nanning","China",1986,,,,,,
"CHN_1986_INTERSALT-Tianjin","China",1986,,,,,,
"CHN_1987_3156001","China",1987,,,,,,
"CHN_1988_3156002","China",1988,,,,,,
"CHN_1988_SinoMONICA-HB","China",1988,,,,,,
"CHN_1988_SinoMONICA-HLJ","China",1988,,,,,,
"CHN_1988_SinoMONICA-HN","China",1988,,,,,,
"CHN_1988_SinoMONICA-NM","China",1988,,,,,,
"CHN_1988_SinoMONICA-SC","China",1988,,,,,,
"CHN_1988_SinoMONICA-SD","China",1988,,,,,,
"CHN_1988_SinoMONICA-SH","China",1988,,,,,,
"CHN_1989_3156021","China",1989,,,,,,
"CHN_1989_APCSC-EastBeijing2","China",1989,,,,,,
"CHN_1989_CHNS","China",1989,,,,,,
"CHN_1989_SinoMONICA-BJ","China",1989,,,,,,
"CHN_1989_SinoMONICA-FJ","China",1989,,,,,,
"CHN_1989_SinoMONICA-JL","China",1989,,,,,,
"CHN_1989_SinoMONICA-JS","China",1989,,,,,,
"CHN_1989_SinoMONICA-JX","China",1989,,,,,,
"CHN_1989_SinoMONICA-LN","China",1989,,,,,,
"CHN_1991_3156012","China",1991,,,,,,
"CHN_1991_APCSC-HKOldOld","China",1991,,,,,,
"CHN_1991_CHEFS","China",1991,,,,,,
"CHN_1991_CHNS","China",1991,,,,,,
"CHN_1991_CPS","China",1991,,,,,,
"CHN_1991_SinoMONICA-SH","China",1991,,,,,,
"CHN_1992_APCSC-Anzhen02","China",1992,"nonFU",,,,"nonFU",
"CHN_1992_APCSC-Fangshan","China",1992,,,,,,
"CHN_1992_APCSC-Huashan","China",1992,,,,,,
"CHN_1992_CNNS","China",1992,,,,,,
"CHN_1992_SinoMONICA-SC","China",1992,,,,,,
"CHN_1993_CHNS","China",1993,"nonFU",,,,"nonFU",
"CHN_1993_SinoMONICA-AH","China",1993,,,,,,
"CHN_1993_SinoMONICA-BJ","China",1993,,,,,,
"CHN_1993_SinoMONICA-JS","China",1993,,,,,,
"CHN_1993_SinoMONICA-LN","China",1993,,,,,,
"CHN_1995_CNSSCH","China",1995,,,,,,
"CHN_1996_3156139","China",1996,,,,,,
"CHN_1996_3156164","China",1996,,,,,,
"CHN_1996_CRFPS","China",1996,"nonFU",,,,"nonFU",
"CHN_1997_CHNS","China",1997,,,,,,
"CHN_1997_INTERMAP-Beijing","China",1997,,,,,,
"CHN_1997_INTERMAP-Guangxi","China",1997,,,,,,
"CHN_1997_INTERMAP-Shanxi","China",1997,,,,,,
"CHN_1998_3156103","China",1998,,,,,,
"CHN_1998_SWHS","China",1998,,,,,,
"CHN_1999_3156065","China",1999,,,,,,
"CHN_1999_3156139","China",1999,,,,,,
"CHN_1999_3156162","China",1999,,,,,,
"CHN_2000_3156048","China",2000,,,,,,
"CHN_2000_3156092","China",2000,,,,,,
"CHN_2000_CHNS","China",2000,,,,,,
"CHN_2000_CNSSCH","China",2000,,,,,,
"CHN_2001_3156103","China",2001,,,,,,
"CHN_2001_InterASIA","China",2001,,,,,,
"CHN_2002_3156045","China",2002,,,,,,
"CHN_2002_CNNHS","China",2002,,,,,,
"CHN_2003_3156055","China",2003,,,,,,
"CHN_2004_3156123","China",2004,,,,,,
"CHN_2004_BCAMS","China",2004,,,,,,
"CHN_2004_CCDRFSrural","China",2004,,,,,,
"CHN_2004_CCDRFSurban","China",2004,,,,,,
"CHN_2004_CHNS","China",2004,"FU_w_refreshers","Yes","Yes",,"FU_w_refreshers",
"CHN_2004_SMHS","China",2004,,,,,,
"CHN_2005_3156108","China",2005,,,,,,
"CHN_2005_3156156","China",2005,,,,,,
"CHN_2005_CNSSCH","China",2005,,,,,,
"CHN_2005_SWHS","China",2005,,,,,,
"CHN_2005_XCAS","China",2005,,,,,,
"CHN_2006_3156158","China",2006,,,,,,
"CHN_2006_BES","China",2006,,,,,,
"CHN_2006_CHNS","China",2006,"FU_w_refreshers","Yes","Yes",,"FU_w_refreshers",
"CHN_2006_CKBrural","China",2006,"nonFU",,,,"nonFU",
"CHN_2006_CKBurban","China",2006,"nonFU",,,,"nonFU",
"CHN_2006_HKGS","China",2006,,,,,,
"CHN_2006_SMHS","China",2006,,,,,,
"CHN_2007_CCDRFSrural","China",2007,,,,,,
"CHN_2007_CCDRFSurban","China",2007,,,,,,
"CHN_2007_HES","China",2007,"nonFU",,,,"nonFU",
"CHN_2008_CHARLS","China",2008,"nonFU",,,,"nonFU",
"CHN_2008_CLHLS","China",2008,,,,,,
"CHN_2008_CNDMDS","China",2008,,,,,,
"CHN_2009_33CCHS","China",2009,"nonFU",,,,"nonFU",
"CHN_2009_CHNS","China",2009,"FU_w_refreshers","CHN_2006_CHNS","Yes","nonFU","FU_w_refreshers",
"CHN_2009_Fangshan","China",2009,,,,,,
"CHN_2009_NISCOC","China",2009,,,,,,
"CHN_2009_QDCS","China",2009,,,,,,
"CHN_2009_SAGE","China",2009,"nonFU",,,,"nonFU",
"CHN_2009_SWHS","China",2009,,,,,,
"CHN_2010_CCDRFSrural","China",2010,,,,,,
"CHN_2010_CCDRFSurban","China",2010,,,,,,
"CHN_2010_CKD","China",2010,,,,,,
"CHN_2010_CNSSCH","China",2010,,,,,,
"CHN_2010_FAMILY","China",2010,,,,,,
"CHN_2010_SMHS","China",2010,,,,,,
"CHN_2011_BCdES","China",2011,,,,,,
"CHN_2011_BCnES","China",2011,,,,,,
"CHN_2011_BES","China",2011,"nonFU",,,,"nonFU",
"CHN_2011_CHARLS","China",2011,"Baseline",,"nonFU","nonFU","FU",
"CHN_2011_CHNS","China",2011,"FU_w_refreshers","Yes","Yes",,"FU_w_refreshers",
"CHN_2012_BCnES","China",2012,,,,,,
"CHN_2012_BHSES","China",2012,,,,,,
"CHN_2012_CHARLS","China",2012,"FU_w_refreshers","Yes","Yes",,"FU_w_refreshers",
"CHN_2012_CLHLS","China",2012,,,,,,
"CHN_2012_CNNHS","China",2012,,,,,,
"CHN_2012_ISCOLE","China",2012,,,,,,
"CHN_2012_NFPHEP","China",2012,,,,,,
"CHN_2012_SCES_rural","China",2012,,,,,,
"CHN_2012_SCES_urban","China",2012,,,,,,
"CHN_2013_CCDRFSrural","China",2013,,,,,,
"CHN_2013_CCDRFSurban","China",2013,,,,,,
"CHN_2013_CHARLS","China",2013,"FU_w_refreshers","Yes","Yes",,"FU_w_refreshers",
"CHN_2013_ECS","China",2013,,,,,,
"CHN_2013_FAMILY","China",2013,"nonFU",,,,"nonFU",
"CHN_2013_KS","China",2013,,,,,,
"CHN_2013_SNEC","China",2013,,,,,,
"CHN_2014_CLHLS","China",2014,,,,,,
"CHN_2014_CNSSCH","China",2014,,,,,,
"CHN_2014_Jiangxi","China",2014,,,,,,
"CHN_2014_SMHS","China",2014,,,,,,
"CHN_2014_SMSS","China",2014,,,,,,
"CHN_2014_SWHS","China",2014,,,,,,
"CHN_2015_CACDNS","China",2015,,,,,,
"CHN_2015_CCDRFSrural","China",2015,,,,,,
"CHN_2015_CCDRFSurban","China",2015,,,,,,
"CHN_2015_CHARLS","China",2015,"FU_w_refreshers","Yes","Yes",,"FU_w_refreshers",
"CHN_2015_CHNS","China",2015,"FU_w_refreshers","Yes","Yes",,"FU_w_refreshers",
"CHN_2015_Children97","China",2015,,,,,,
"CHN_2015_KS","China",2015,,,,,,
"CHN_2016_GBSCMSrural","China",2016,,,,,,
"CHN_2016_GBSCMSurban","China",2016,,,,,,
"CHN_2016_Henan","China",2016,"nonFU",,,,"nonFU",
"CHN_2016_INTERMAPICP","China",2016,"nonFU",,,,"nonFU",
"CHN_2017_CNHSCW","China",2017,,,,,,
"CHN_2017_FAMILY","China",2017,"FU","No","No",,"FU",
"CHN_2017_HKSDU","China",2017,,,,,,
"CHN_2018_CCDRFSrural","China",2018,,,,,,
"CHN_2018_CCDRFSurban","China",2018,,,,,,
"CHN_2018_CHNS","China",2018,,,,,,
"CHN_2018_CLHLS","China",2018,,,,,,
"CHN_2018_Economicstatus","China",2018,,,,,,
"CHN_2019_CNSSCH","China",2019,,,,,,
"CHN_2023_WCAES","China",2023,,,,,,
"CIV_1986_CILSS","Cote d'Ivoire",1986,,,,,,
"CIV_1987_CILSS","Cote d'Ivoire",1987,,,,,,
"CIV_1988_CILSS","Cote d'Ivoire",1988,,,,,,
"CIV_1989_CILSS","Cote d'Ivoire",1989,,,,,,
"CIV_1994_DHS","Cote d'Ivoire",1994,,,,,,
"CIV_1999_DHS","Cote d'Ivoire",1999,,,,,,
"CIV_2005_STEPS_rural","Cote d'Ivoire",2005,"nonFU",,,,"nonFU",
"CIV_2005_STEPS_urban","Cote d'Ivoire",2005,"nonFU",,,,"nonFU",
"CIV_2012_DHS","Cote d'Ivoire",2012,,,,,,
"CIV_2014_obesityWA","Cote d'Ivoire",2014,"nonFU",,,,"nonFU",
"CIV_2016_MICS5","Cote d'Ivoire",2016,,,,,,
"CIV_2021_DHS","Cote d'Ivoire",2021,,,,,,
"CMR_1998_DHS","Cameroon",1998,,,,,,
"CMR_1999_ENHIP_rural","Cameroon",1999,"nonFU",,,,"nonFU",
"CMR_1999_ENHIP_urban","Cameroon",1999,"nonFU",,,,"nonFU",
"CMR_2003_STEPS","Cameroon",2003,"nonFU",,,,"nonFU",
"CMR_2004_DHS","Cameroon",2004,,,,,,
"CMR_2007_CAMBOD2","Cameroon",2007,"nonFU",,,,"nonFU",
"CMR_2009_NSMSCFF","Cameroon",2009,,,,,,
"CMR_2011_ANTRAC","Cameroon",2011,"nonFU",,,,"nonFU",
"CMR_2011_DHS","Cameroon",2011,,,,,,
"CMR_2013_CKDPalmiers","Cameroon",2013,,,,,,
"CMR_2014_CKDDschang","Cameroon",2014,"nonFU",,,,"nonFU",
"CMR_2015_FarNorth","Cameroon",2015,"nonFU",,,,"nonFU",
"CMR_2018_CKDNorth","Cameroon",2018,"nonFU",,,,"nonFU",
"CMR_2019_DHS","Cameroon",2019,,,,,,
"COD_2001_MICS2","DR Congo",2001,,,,,,
"COD_2005_STEPS","DR Congo",2005,"nonFU",,,,"nonFU",
"COD_2007_DHS","DR Congo",2007,,,,,,
"COD_2007_GluKisantu","DR Congo",2007,"nonFU",,,,"nonFU",
"COD_2008_Vitaraa","DR Congo",2008,,,,,,
"COD_2008_VitaraaK","DR Congo",2008,"nonFU",,,,"nonFU",
"COD_2012_EPIDEMICABrazzaville","DR Congo",2012,,,,,,
"COD_2012_EPIDEMICAGamboma","DR Congo",2012,,,,,,
"COD_2014_DHS","DR Congo",2014,,,,,,
"COD_2017_PRFCKD","DR Congo",2017,"nonFU",,,,"nonFU",
"COD_2017_citWakilong","DR Congo",2017,,,,,,
"COD_2019_Diabetesprev","DR Congo",2019,,"No",,,,
"COG_1986_Brazzaville","Congo",1986,,,,,,
"COG_1987_18178001","Congo",1987,,,,,,
"COG_1987_ENC","Congo",1987,,,,,,
"COG_1991_Brazzaville","Congo",1991,,,,,,
"COG_1996_Brazzaville","Congo",1996,,,,,,
"COG_2004_STEPS","Congo",2004,"nonFU",,,,"nonFU",
"COG_2005_DHS","Congo",2005,,,,,,
"COG_2012_DHS","Congo",2012,,,,,,
"COG_2019_Diabetesprev","Congo",2019,"nonFU",,,,"nonFU",
"COK_2003_STEPS","Cook Islands",2003,"nonFU",,,,"nonFU",
"COK_2011_GSHS","Cook Islands",2011,,,,,,
"COK_2014_STEPS","Cook Islands",2014,"nonFU",,,,"nonFU",
"COK_2015_GSHS","Cook Islands",2015,,,,,,
"COK_2022_STEPS","Cook Islands",2022,,"No",,,,
"COL_1986_INTERSALT","Colombia",1986,,,,,,
"COL_1995_DHS","Colombia",1995,,,,,,
"COL_1997_IFRECNTEC","Colombia",1997,,,,,,
"COL_2000_DHS","Colombia",2000,,,,,,
"COL_2001_12170038","Colombia",2001,,,,,,
"COL_2002_12170040","Colombia",2002,,,,,,
"COL_2002_santafe","Colombia",2002,"nonFU",,,,"nonFU",
"COL_2002_tunjuelito","Colombia",2002,"nonFU",,,,"nonFU",
"COL_2005_CARMELA","Colombia",2005,,,,,,
"COL_2005_DHS","Colombia",2005,,,,,,
"COL_2005_ENSIN","Colombia",2005,,,,,,
"COL_2007_ENS","Colombia",2007,,,,,,
"COL_2010_DHS","Colombia",2010,,,,,,
"COL_2010_STEPS","Colombia",2010,"nonFU",,,,"nonFU",
"COL_2012_ISCOLE","Colombia",2012,,,,,,
"COL_2015_ELANS","Colombia",2015,"nonFU",,,,"nonFU",
"COL_2015_ENSIN","Colombia",2015,"nonFU",,,,"nonFU",
"COL_2015_STEPS","Colombia",2015,"nonFU",,,,"nonFU",
"COL_2016_SABE","Colombia",2016,"nonFU",,,,"nonFU",
"COL_2018_COPEN","Colombia",2018,"nonFU",,,,"nonFU",
"COL_2022_COPEN","Colombia",2022,"nonFU",,,,"nonFU",
"COM_1996_DHS","Comoros",1996,,,,,,
"COM_2011_STEPS","Comoros",2011,"nonFU",,,,"nonFU",
"COM_2012_DHS","Comoros",2012,,,,,,
"CPV_2007_STEPS","Cabo Verde",2007,"nonFU",,,,"nonFU",
"CPV_2020_STEPS","Cabo Verde",2020,"nonFU",,,,"nonFU",
"CRI_2004_CAMDI","Costa Rica",2004,"nonFU",,,,"nonFU",
"CRI_2005_CRELES","Costa Rica",2005,"nonFU",,"nonFU","nonFU","nonFU",
"CRI_2007_CRELES","Costa Rica",2007,"FU","CRI_2005_CRELES","No","FU","FU",
"CRI_2009_CRELES","Costa Rica",2009,"FU","No","No",,"FU",
"CRI_2009_ENN","Costa Rica",2009,,,,,,
"CRI_2009_GSHS","Costa Rica",2009,,,,,,
"CRI_2010_CRFS","Costa Rica",2010,"nonFU",,,,"nonFU",
"CRI_2011_CRELES","Costa Rica",2011,"nonFU",,,,"nonFU",
"CRI_2013_CRELES","Costa Rica",2013,"FU","No","No",,"FU",
"CRI_2014_CRFS","Costa Rica",2014,"nonFU",,,,"nonFU",
"CRI_2015_ELANS","Costa Rica",2015,"nonFU",,,,"nonFU",
"CRI_2016_CEPT","Costa Rica",2016,,,,,,
"CUB_1982_7192022","Cuba",1982,,,,,,
"CUB_1991_cienfuegos","Cuba",1991,"nonFU",,,,"nonFU",
"CUB_2000_SABE","Cuba",2000,"nonFU",,,,"nonFU",
"CUB_2001_Cienfuegos","Cuba",2001,"nonFU",,,,"nonFU",
"CUB_2001_NSRFCD","Cuba",2001,"nonFU",,,,"nonFU",
"CUB_2010_NSRFCD","Cuba",2010,"nonFU",,,,"nonFU",
"CUB_2011_Cienfuegos","Cuba",2011,"nonFU",,,,"nonFU",
"CUB_2019_ENS","Cuba",2019,,,,,,
"CYP_2000_CINDI","Cyprus",2000,,,,,,
"CYP_2008_ASC","Cyprus",2008,,,,,,
"CYP_2008_IPE","Cyprus",2008,,,,,,
"CYP_2009_IDEFICS","Cyprus",2009,,,,,,
"CYP_2016_COSI4","Cyprus",2016,,,,,,
"CYP_2019_COSI5","Cyprus",2019,,,,,,
"CYP_2022_COSI6","Cyprus",2022,,,,,,
"CZE_1985_MONICA","Czechia",1985,,,,,,
"CZE_1988_MONICA","Czechia",1988,,,,,,
"CZE_1992_MONICA","Czechia",1992,"nonFU",,,,"nonFU",
"CZE_1998_postMONICA","Czechia",1998,"nonFU",,,,"nonFU",
"CZE_2000_ELSPAC","Czechia",2000,,,,,,
"CZE_2000_HELEN","Czechia",2000,"nonFU",,,,"nonFU",
"CZE_2001_6NASCA","Czechia",2001,,,,,,
"CZE_2001_postMONICA","Czechia",2001,"nonFU",,,,"nonFU",
"CZE_2003_ELSPAC","Czechia",2003,,,,,,
"CZE_2004_HAPIEE","Czechia",2004,"nonFU",,"nonFU","nonFU","nonFU",
"CZE_2005_ELSPAC","Czechia",2005,,,,,,
"CZE_2005_HELEN","Czechia",2005,"nonFU",,,,"nonFU",
"CZE_2007_ELSPAC","Czechia",2007,,,,,,
"CZE_2008_COSI1","Czechia",2008,,,,,,
"CZE_2008_postMONICA","Czechia",2008,"nonFU",,,,"nonFU",
"CZE_2009_HELEN","Czechia",2009,"nonFU",,,,"nonFU",
"CZE_2010_COSI2","Czechia",2010,,,,,,
"CZE_2010_ELSPAC","Czechia",2010,,,,,,
"CZE_2011_ELSPAC","Czechia",2011,,,,,,
"CZE_2013_COSI3","Czechia",2013,,,,,,
"CZE_2015_EHES","Czechia",2015,"nonFU",,,,"nonFU",
"CZE_2016_COSI4","Czechia",2016,,,,,,
"CZE_2017_MONICA","Czechia",2017,"nonFU",,"nonFU","nonFU","nonFU",
"CZE_2020_COSI5","Czechia",2020,,,,,,
"CZE_2020_EHES","Czechia",2020,"nonFU",,,,"nonFU",
"CZE_2021_ELSPAC","Czechia",2021,"nonFU",,,,"nonFU",
"CZE_2023_COSI6","Czechia",2023,,,,,,
"DEU_1982_MONICA-ERF","Germany",1982,,,,,,
"DEU_1983_MONICA-CHM","Germany",1983,,,,,,
"DEU_1983_MONICA-ZWK","Germany",1983,,,,,,
"DEU_1984_GCP","Germany",1984,,,,,,
"DEU_1984_MONICA-BERa","Germany",1984,,,,,,
"DEU_1984_MONICA-BRE1","Germany",1984,,,,,,
"DEU_1984_MONICA-HACa","Germany",1984,,,,,,
"DEU_1984_MONICA-KMS","Germany",1984,,,,,,
"DEU_1984_MONICA-RDM","Germany",1984,,,,,,
"DEU_1984_conscripts","Germany",1984,,,,,,
"DEU_1985_INTERSALT-Cottbus","Germany",1985,,,,,,
"DEU_1985_INTERSALT-Heidelberg","Germany",1985,,,,,,
"DEU_1985_MONICA-AUG","Germany",1985,,,,,,
"DEU_1985_MONICA-COTa","Germany",1985,,,,,,
"DEU_1985_MONICA-RHNa","Germany",1985,,,,,,
"DEU_1985_conscripts","Germany",1985,,,,,,
"DEU_1986_10276005","Germany",1986,,,,,,
"DEU_1986_INTERSALT-Bernried","Germany",1986,,,,,,
"DEU_1986_conscripts","Germany",1986,,,,,,
"DEU_1987_MONICA-ERF","Germany",1987,,,,,,
"DEU_1987_conscripts","Germany",1987,,,,,,
"DEU_1988_GCP","Germany",1988,,,,,,
"DEU_1988_MONICA-BERa","Germany",1988,,,,,,
"DEU_1988_MONICA-BRE1","Germany",1988,,,,,,
"DEU_1988_MONICA-BRE2","Germany",1988,,,,,,
"DEU_1988_MONICA-CHM","Germany",1988,,,,,,
"DEU_1988_MONICA-ZWK","Germany",1988,,,,,,
"DEU_1988_conscripts","Germany",1988,,,,,,
"DEU_1989_10276006","Germany",1989,,,,,,
"DEU_1989_MONICA-COTa","Germany",1989,,,,,,
"DEU_1989_MONICA-HACa","Germany",1989,,,,,,
"DEU_1989_MONICA-KMS","Germany",1989,,,,,,
"DEU_1989_conscripts","Germany",1989,,,,,,
"DEU_1990_MONICA-AUG","Germany",1990,,,,,,
"DEU_1990_conscripts","Germany",1990,,,,,,
"DEU_1991_10276132","Germany",1991,,,,,,
"DEU_1991_10276133","Germany",1991,,,,,,
"DEU_1991_MONICA-BRE1","Germany",1991,,,,,,
"DEU_1991_MONICA-BRE2","Germany",1991,,,,,,
"DEU_1991_conscripts","Germany",1991,,,,,,
"DEU_1992_10276007","Germany",1992,,,,,,
"DEU_1992_GCP","Germany",1992,,,,,,
"DEU_1992_GCPEast","Germany",1992,,,,,,
"DEU_1992_MONICA-ERF","Germany",1992,,,,,,
"DEU_1992_conscripts","Germany",1992,,,,,,
"DEU_1993_conscripts","Germany",1993,,,,,,
"DEU_1994_MONICA-CHM","Germany",1994,,,,,,
"DEU_1994_MONICA-ZWK","Germany",1994,,,,,,
"DEU_1994_conscripts","Germany",1994,,,,,,
"DEU_1995_MONICA-AUG","Germany",1995,,,,,,
"DEU_1995_conscripts","Germany",1995,,,,,,
"DEU_1996_EPICheidelberg","Germany",1996,"nonFU",,,,"nonFU",
"DEU_1996_EPICpotsdam","Germany",1996,"nonFU",,,,"nonFU",
"DEU_1996_conscripts","Germany",1996,,,,,,
"DEU_1997_conscripts","Germany",1997,,,,,,
"DEU_1998_BGS","Germany",1998,"nonFU",,,,"nonFU",
"DEU_1998_conscripts","Germany",1998,,,,,,
